APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,BALCHQ,BALSAV,TOTDEP,BALLOAN,BALLOC,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CH_NM_SERV,CH_NM_PRD,valsegm,N_IND_INC_,numrr_1,numcon_1,avginc_1,avginv_1
Y,12,39,0,1,V7L4X2,1,0,637.0083333,1340.199167,2098.8875,,1311.61,,0,0,0.583333333,5.416666667,6.916666667,3.833333333,0,0,4,0,0,D,800,,,31752.5,2113.043478
N,65,69,0,1,V6P1W9,1,0,89485.27333,0,649947.005,,6186.895833,,0,0,19.33333333,0,0,15.5,0,0,7,0,-1,C,580,150,1256,41937.93103,8627.586207
Y,94,29,1,0,V3S7K7,1,1,1574.215,0,6250.793333,,12637.17333,,0,0,2.5,1.583333333,17.66666667,1.833333333,3.5,0,4.1,-2,-7,C,1330,520,2624,32206.01504,3030.357143
N,108,35,0,1,V3L3N2,1,1,5450.218333,0.22,9814.025,,0,158177.6725,0,0,0.583333333,1.083333333,3.333333333,1.083333333,0.666666667,0,6,0,0,B,800,,,31351.25,2762.857143
Y,130,55,1,0,V3R7S1,1,0,431.9775,0,640.1758333,,3626.9975,60247.62167,0,0,1.166666667,4.5,19.58333333,3.666666667,0,0,5,0,-1,C,1110,290,1130,27208.10811,1151.851852
N,136,62,0,1,V6S1X6,0,0,130.0941667,6.09,23674.09417,,0.291666667,,0,0,0.083333333,0,0,0,0,0,5,0,1,E,590,270,1812,51394.91525,6137.777778
N,149,34,0,1,V5P1W9,1,0,0,0,68.365,,4318.33,,0,0,4.416666667,9.25,2,0.25,0,0,4,0,0,D,850,370,1828,25721.17647,3316.41791
Y,191,60,0,1,V5R1K9,1,0,0,9755.756667,22904.94,,86170.90667,,0,0,4.333333333,0,0.916666667,1.416666667,3.583333333,0,5,0,2,A,780,350,1362,24224.35897,4218.644068
N,213,47,1,0,V5M1E2,1,1,1479.625833,1797.978333,44976.60333,,108.9388889,,0,0,7.75,3.583333333,0.166666667,3.416666667,6.333333333,0,4.7,-1,4,D,790,360,1443,25839.24051,3603.846154
Y,228,36,0,1,V5B2K5,1,1,10060.68083,0,10271.85833,,0,,0,0,0.416666667,2.083333333,13.75,4.25,1,0,4,0,0,D,690,330,1679,34926.08696,4650
Y,237,32,1,0,V6L1W2,1,1,0,0.02,61.0375,,3476.8075,,0,0,0.583333333,4.333333333,19.75,1.666666667,4.666666667,0,4,0,0,D,560,270,1895,52989.28571,7940.384615
Y,242,58,0,1,V6L3H1,1,0,3930.109167,87.52916667,4565.790833,,1744.7325,527322.3392,0,0,1.083333333,0.333333333,0,0.833333333,0,0,5,0,0,A,590,250,1299,28871.18644,7327.419355
N,304,30,0,1,V4C7P9,1,1,2142.589167,0,2223.479167,,4749.545833,,0,0,1.833333333,7.166666667,30,3.166666667,3.5,0,4,0,-1,D,660,270,1033,32840.90909,2582.142857
Y,306,24,0,1,V5B3K2,1,0,9307.941667,1138.908333,10505.4125,,0,,0,0,2.083333333,8.5,7.25,0.833333333,0,0,4,0,0,D,1000,450,1978,31652,3445
N,313,27,1,0,V3R9J4,1,1,5863.693333,676.6833333,6591.089167,,3164.41,,1,0,2.583333333,4.916666667,10.83333333,0.333333333,0,0,3.3,1,2,E,1030,140,599,29512.62136,3050.943396
N,326,55,0,1,V5B2E8,1,1,3269.955833,128.29,28525.55583,,38.08,,0,0,7.416666667,0.333333333,37.25,12.08333333,0,0,4.4,-1,-1,C,550,250,1098,29221.81818,4304.255319
N,340,68,0,1,V5A1G7,0,0,4702.179167,620.8516667,20659.51333,,2837.205833,47622.8825,0,0,9.083333333,0,0,2.916666667,0,0,6,0,0,C,640,330,1625,34203.125,7168.627451
Y,353,48,0,1,V5X2L3,1,0,71.1025,4.45,193.0316667,,23448.77167,,0,0,1.416666667,0,0,0.333333333,0,0,3.5,-1,-2,C,530,330,1195,20649.0566,1890.909091
Y,358,65,0,1,V5W3N5,0,1,9210.856667,1787.81,31386.56083,,0,,0,0,7.333333333,0,0,1.5,0,0,5,0,1,D,1240,310,1197,31237.09677,7011.111111
N,385,47,0,1,V6X1M3,1,1,798.165,0,932.1025,,23603.50333,,0,0,0.75,9.416666667,14.66666667,11.41666667,9.583333333,0,4,0,1,C,1050,440,1877,25471.42857,2905.970149
N,430,55,1,0,V5V3S7,1,1,2191.794167,1342.075833,5016.465833,,134.0125,,0,0,3.75,5,10.58333333,6.75,0.666666667,0,4.7,-1,0,D,640,290,1353,32156.25,2673.529412
Y,439,63,0,1,V6C3N7,1,0,0,0.003333333,4674.810833,2182.056667,17164.49167,,0,0,1.583333333,9.416666667,0.583333333,0,0,0,4.9,-2,-2,C,260,120,1086,49138.46154,17545.16129
N,456,53,0,1,V6K2J1,0,0,3512.083333,1075.899167,13895.21333,,43176.84167,,0,0,0.416666667,0,0,0.25,0.5,0,5,0,-1,B,620,350,1944,41330.64516,3897.368421
N,469,43,0,1,V3N4W1,1,0,67.90833333,59.72666667,181.6325,,191.4891667,,0,0,0.333333333,0.083333333,0,0.416666667,0.833333333,0,4,0,0,E,960,,,37429.16667,4514.492754
Y,475,21,0,1,V3W6H6,1,0,281.1766667,1314.79,2130.581667,,85.9075,,0,0,0.5,6.333333333,29,0.333333333,0,0,5,0,0,D,800,270,927,25042.5,1760.714286
N,537,62,0,1,V8W2P3,1,0,0,0,54.935,,2942.201667,,0,0,0.333333333,2.416666667,6.916666667,0,0,0.083333333,4,0,-1,D,3310,,,38241.38973,13898.74477
Y,580,59,0,1,V5J2Z2,1,1,2211.736667,0.01,2342.791667,,84.34083333,115731.3733,0,0,0.25,4.083333333,17.33333333,3.583333333,3.583333333,0,5,0,0,C,260,120,691,33523.07692,3685
Y,582,55,0,1,V3M5J8,0,0,47.16,360.4483333,447.0466667,30980.214,963,,0,0,6,0,0,0.166666667,5.333333333,0,3.6,-2,-5,C,290,100,347,22944.82759,1555.555556
Y,591,50,0,1,V5J2H8,0,0,502.8033333,1726.345,20447.64333,,0,,0,0,1.25,0,0,0,0,0,5,0,0,D,490,170,763,23167.34694,3014.285714
Y,600,41,0,1,V2X0X8,1,0,4.441666667,0,8.881666667,,64.875,,0,0,21.41666667,0.583333333,0,0.083333333,0,0,4,0,0,E,1410,,,35390.78014,2426.5625
Y,605,57,0,1,V3B5N7,0,0,0,57.19416667,552.8366667,,11674.55333,11735.3725,1,0,1.333333333,0,0,0,0,0,3.6,2,2,D,610,240,866,29529.5082,2659.259259
Y,608,38,1,0,V3B7W2,1,1,1313.819167,2158.9725,3674.779167,,4123.033333,131962.3392,0,0,0.583333333,9,62.58333333,1.833333333,9,0,5,0,0,C,550,200,778,26761.81818,2303.448276
Y,620,42,0,1,V3S3M6,1,1,189.5408333,42.6225,275.6083333,,341.1583333,,0,0,0,0.083333333,1.333333333,0.083333333,1.416666667,0,4,0,0,D,950,330,1273,25387.36842,2512.820513
N,623,56,1,0,V3S8X5,1,1,6992.665833,2349.991667,37880.45667,,615.0733333,61037.79167,0,0,2,9.083333333,16.16666667,4.583333333,1.416666667,0,6,0,-1,C,560,260,1171,36414.28571,3888.888889
N,635,49,0,1,V3J4V2,1,0,0,0,65.4275,,846.3633333,,0,0,0,2.666666667,1.333333333,0,0,0,4,0,0,D,650,280,1340,33107.69231,3371.428571
Y,638,52,0,1,V7P1X8,1,0,1503.713333,576.965,24070.25667,18479.33727,123.6641667,,0,0,3.833333333,0.916666667,0.25,2.416666667,3.333333333,0,6,0,2,D,690,290,1479,27040.57971,4897.297297
N,640,49,0,1,V7N1V7,1,0,0,180.1891667,248.2391667,,16969.37917,,0,0,1.75,0,0,0,0,0,4,0,0,C,740,230,1388,41071.62162,5356.603774
Y,644,41,1,0,V5K3L7,1,0,2559.806667,738.7291667,3438.343333,,16.2075,,0,0,22.5,1.75,6.75,1.75,0,0,4,0,0,D,580,270,1286,32232.75862,4041.176471
N,656,49,0,1,V6R2W9,1,0,4624.645,626.3916667,10485.51917,,0,,0,0,1.583333333,2.5,5,3.25,1,0,5,0,0,D,570,260,1621,48482.45614,5173.809524
N,669,66,1,0,V3C6G6,1,0,949.9816667,1007.650833,2019.5225,,0,,0,0,2.666666667,6.25,14.75,3.583333333,0,0,4,0,0,D,1100,430,1609,30703.63636,1642.105263
Y,671,41,0,1,V5C4G7,1,1,2081.149167,0,2382.764167,,1044.831667,,0,0,0.25,3.75,0.25,4.666666667,8.666666667,0,4,0,0,D,1920,,,44488.54167,8868.932039
Y,676,43,0,1,V3R7Y6,1,0,0,0.04,71.9,,5014.355833,,0,0,2.583333333,0,0,0.166666667,0,0,4,0,0,D,740,260,823,27609.45946,1971.428571
N,684,48,0,1,V3J2C1,0,0,0,0,112.05,,39151.58833,147158.2675,0,0,3.083333333,0,0,0.166666667,0,0,5,0,0,A,730,300,1324,30658.90411,3582.352941
Y,685,45,0,1,V3C5N2,1,1,109.9575,8646.908333,10154.385,2608.775,12207.19417,156279.4658,0,0,5.583333333,7.916666667,8.333333333,4.583333333,8.5,0,5,0,-2,B,1030,460,2221,39440.7767,3367.241379
Y,695,53,0,1,,1,0,92.6225,2781.778333,3041.768333,,465.045,146477.5625,0,0,1.333333333,1.916666667,1.833333333,1.833333333,0,0,5,0,0,B,,,,,
N,696,58,1,0,V5N5T5,1,0,65.85333333,185.2666667,344.4033333,,138.7725,,0,0,3.083333333,1.666666667,0.916666667,0,0,0,4,0,0,E,11090,,,67859.60325,15139.31145
N,699,41,0,1,V2C4N9,1,1,6513.4375,3.2,7079.8975,,0,56621.2225,0,0,0.083333333,3.75,0.416666667,6.333333333,0,0,5,0,0,C,320,130,459,25228.125,3417.391304
N,707,56,0,1,V6R2M7,1,1,12562.69833,0,12682.605,,0,93998.205,0,0,0.666666667,0,0,3.916666667,0.083333333,0,4.3,-1,-5,B,480,220,1434,56047.91667,7971.794872
Y,721,58,0,1,V4C7S1,1,1,1922.716667,2340.365,5457.285833,,0,,0,0,2.25,3.666666667,18,1.166666667,11.66666667,0,4,0,1,D,850,390,2318,38031.76471,2485.714286
Y,745,43,1,0,V3L3T9,1,1,1980.388333,1364.224167,3532.0025,,43.48416667,158691.5133,0,0,1.416666667,11.16666667,18.83333333,2.166666667,3.75,0,4.1,-1,-2,B,800,,,30980,2505.714286
Y,770,42,0,1,V3B6L1,1,1,8574.874167,25.4,8675.781667,,892.6891667,,0,0,1.5,3,16.33333333,4,1.833333333,0,4,0,0,D,770,330,1336,36337.66234,1525
N,816,55,0,1,V5S1A8,1,1,2824.264167,25.58,3017.406667,,0,,0,0,1,0.5,0.083333333,2.25,5.75,0,4,0,0,D,730,340,1339,24663.0137,4021.212121
Y,831,36,1,0,V5A1H4,1,0,0.08,0.4,71.27666667,,1.333333333,529096.7308,0,0,0.583333333,0,0,0.083333333,0,0,5,0,0,A,640,330,1625,34203.125,7168.627451
N,846,47,0,1,V4K3N3,0,0,142.245,0.05,581.0475,,13535.925,,0,0,0,0,0,0,0,0,4,0,0,C,270,,,25288.88889,7886.666667
N,860,66,1,0,V4N3G5,1,0,311.2741667,0.33,323.1091667,,16.94083333,,0,0,0,0.833333333,2.666666667,0,0,0,4,0,0,E,960,,,32686.45833,3135.849057
Y,874,48,0,1,V2Z2N3,1,1,1643.834167,13486.49667,15560.33167,21384.29889,6609.999167,81276.13167,0,0,1.5,4.666666667,49.66666667,3.583333333,9,0.083333333,5.7,-1,-1,A,7650,2650,13706,32769.15033,5222.371365
Y,875,54,1,0,V3R5Z1,1,1,808.81,150.77,1239.725,,1380.32,181608.96,1,0,11,0,0,0,0,0,4.5,1,3,A,820,470,1654,28702.43902,2130.555556
Y,881,48,0,1,V3W3X5,1,1,7792.808333,0,17976.22083,,0,,0,0,2.5,3.25,1.333333333,4.5,0,0,5,0,0,D,810,240,775,23898.76543,817.3913044
Y,912,53,0,1,V4N3C5,1,1,4725.56,70302.19833,75477.17083,,119136.24,167573.06,0,0,4.333333333,0,0,4,0,0,5,0,4,A,1160,400,1647,29105.17241,2545.098039
N,923,51,0,1,V6N2N2,1,0,219.26,0,272.0875,,8875.6925,,0,0,0.75,3.083333333,0,2.25,1.416666667,0,4,0,0,D,630,230,1513,48017.46032,7456.140351
Y,934,54,0,1,V6Y1N5,1,0,0,5085.05,5211.58,,1878.72,179442.3942,0,0,1.5,6.916666667,14,2.666666667,4.833333333,0,5,0,0,C,800,240,949,24153.75,4655.405405
N,940,47,1,0,V6P1E9,1,1,9765.6725,4885.340833,173795.385,,249.3608333,,0,0,3.833333333,0.5,7.5,8.25,6.333333333,0,5,0,-1,A,570,190,1354,48971.92982,9034.545455
Y,945,51,0,1,V5K3J6,1,1,0,0,274.2575,,51217.365,13277.15833,0,0,0.5,7.333333333,18.83333333,2.666666667,3.083333333,0,5,0,0,C,900,430,1801,28682.22222,2977.777778
Y,958,47,0,1,V5G1M8,1,1,3006.038333,750.7341667,3847.04,,0,,0,0,1.083333333,1.75,4.75,8.916666667,4.75,0,4,0,0,D,290,150,880,35779.31035,3865.217391
Y,972,54,0,1,V5V1X7,1,1,17687.48083,0,20342.375,,9.440833333,142035.8925,0,0,0.583333333,2.166666667,0,0.666666667,2.416666667,0,5.2,-1,-2,A,790,370,1469,28327.8481,2764.102564
N,992,53,0,1,V5C1B1,1,0,314.4408333,0,416.4483333,,507.8441667,243618.5275,0,0,6.5,18.91666667,9.916666667,0.583333333,0,0,5,0,0,A,700,300,1302,26128.57143,2275.555556
N,1000,60,0,1,V7V1K4,1,0,920.6333333,76.8775,1120.830833,,337.1125,,0,0,2.583333333,5.833333333,11.66666667,0.833333333,2.916666667,0,4,0,1,D,400,100,611,46795,19949.23077
Y,1028,42,0,1,V3C1H8,1,1,601.8441667,2474.405833,3374.8825,2593.49,1494.716667,4254.32625,0,0,3.5,3,62.41666667,2.583333333,8.75,0,4.6,-1,-2,D,730,310,1411,32432.87671,1555.555556
N,1059,53,1,0,V5A2E1,1,0,14096.17667,403.525,14725.06667,,420983.2833,170655.2,0,0,8.083333333,0.5,14.16666667,2.583333333,6.916666667,0,4.4,-1,-3,A,570,260,1835,35401.75439,4816.666667
N,1062,58,0,1,,1,0,0,0,213.6275,,9646.3875,,0,0,0.916666667,0,0,0,0,0,4,0,0,D,,,,,
Y,1075,53,0,1,V6P2R5,1,0,12741.77083,46.63083333,102108.2708,,0,57103.4225,0,0,6.5,0,0,4,7.583333333,0,6,0,0,B,780,320,1260,26184.61539,4095.384615
Y,1113,45,0,1,,1,1,5006.989167,447.3208333,18980.93583,,19779.815,,0,0,0.583333333,3.083333333,6.666666667,5.583333333,1.166666667,0,4.2,1,0,B,,,,,
Y,1116,46,1,0,V5H4J3,1,1,4242.7425,735.4275,5154.3425,,0,102611.0825,0,0,8.583333333,1,4.416666667,2.833333333,0.25,0,4.8,1,1,C,570,230,1102,29957.89474,4357.8125
N,1124,51,0,1,V3J1B6,1,1,1166.0525,348.08,13022.43083,28490.22,7143.6875,46701.67,0,0,6.083333333,13.33333333,63.5,11.41666667,3.833333333,0.25,5.8,-3,-1,A,760,350,1535,32076.31579,2112.121212
Y,1125,54,0,1,V4A1A8,1,1,3598.965833,600.3066667,3964.086667,,83.30083333,,0,0,3.083333333,0.75,0.25,3.166666667,0,0,3.4,0,-1,D,600,260,1349,40275,2928.571429
N,1171,40,0,1,V4S1G1,1,1,70.0425,0,153.0175,14613.19583,658.5083333,45018.41333,0,1,3.25,4.75,36.25,10.58333333,0,0,5.6,1,2,C,2330,800,4178,30899.14163,3067.346939
Y,1178,53,0,1,V5J2E4,1,0,1260.59,3388.433333,19033.03417,,465.9291667,41319.79083,0,0,8.416666667,2.666666667,27.91666667,6.083333333,6,0,6,0,0,C,290,130,688,41572.41379,4400
N,1203,47,1,0,V3C1H2,1,1,692.4091667,275.3033333,1045.55,3056.305,674.8033333,,0,0,1,8.583333333,39.66666667,7.25,6.5,0,4,0,-2,D,730,310,1411,32432.87671,1555.555556
Y,1211,42,0,1,V3B5S5,1,1,549.5075,0,607.2316667,20001.7,3358.984167,170317.45,0,0,1.75,6.833333333,43.75,3.416666667,0,0,5,0,-1,A,260,120,480,31953.84615,1618.181818
Y,1213,56,1,0,V6R3V8,1,0,482.0466667,1290.040833,2212.2375,,16.80666667,,0,0,5.25,0.333333333,0,0.666666667,0,0,4.3,1,1,D,470,230,1725,64182.97872,9186.842105
Y,1216,46,0,1,V5Y2C9,1,0,54.99666667,44.68,16248.31583,21104.345,33151.80083,277924.1058,0,0,10.75,8.25,14.08333333,7.833333333,0.083333333,0,6.9,-1,-6,A,600,320,1740,41695,5060
N,1230,55,1,0,V3C5E6,1,0,415.1033333,311.7258333,805.5341667,,67.29285714,40157.87917,0,0,0.25,0.916666667,3.833333333,0.25,0,0,4.5,-1,-1,C,1140,540,2759,37857.89474,3772.857143
Y,1253,37,0,1,V3W4S5,1,1,732.6408333,37.085,833.5958333,,2459.743333,,0,0,0.083333333,5.416666667,7.916666667,2.25,0,0,4,0,0,D,950,280,895,25545.26316,1029.166667
Y,1259,52,0,1,V5B1L3,1,0,4434.085833,6.265,5058.175,,2444.493333,189857.65,0,0,12,0.083333333,0,7.5,0,0,5,0,-1,A,690,250,932,25071.01449,2200
N,1277,52,0,1,V4A3N6,1,1,799.1766667,30.20333333,1120.895,,24307.8275,13038.34333,0,0,1.083333333,1.833333333,4,4.083333333,2,0,5,0,0,C,480,200,1026,41414.58333,3791.666667
Y,1295,51,1,0,V5S4B9,1,1,1250.811667,72.0875,1412.984167,,0,,0,0,0,1.833333333,4.083333333,1.833333333,1.5,0,4,0,0,D,830,390,1834,32451.80723,2768.085106
Y,1320,57,0,1,V3K6C3,0,0,23308.9,0,23985.67,,13683.6325,,0,0,8.833333333,0,0,10.5,0,0,4,0,0,D,780,250,999,26164.10256,2231.034483
Y,1323,36,1,0,V7J3C5,1,1,3859.49,572.4516667,9135.7175,,1313.015,126527.5533,0,0,3.666666667,2.583333333,3.416666667,2.666666667,1,0,5.9,-1,-4,A,630,260,1392,34915.87302,2875
Y,1332,48,1,0,V7T1N6,1,0,2989.146667,0,5144.69,,0,,0,0,0.166666667,0,0,0,0,0,5,0,0,D,480,190,1356,52816.66667,7237.5
Y,1336,66,0,1,V5X1T1,1,0,5832.85,3315.008333,136998.0775,,0,,0,0,1.25,0,0,0.75,0,0,4.8,-2,-11,C,1300,140,518,21555.38462,2484.057971
Y,1337,43,0,1,V7C4C9,1,1,5858.161667,55248.4875,434291.7742,,0,,0,0,0.416666667,0.666666667,0.75,3.333333333,3.333333333,0,5,0,0,A,890,420,1810,32831.46067,2873.076923
Y,1338,38,0,1,V5X1T1,1,0,26730.03583,0,60175.53333,,0,,0,0,0.416666667,5.25,0.333333333,3.083333333,0,0,5,0,0,D,1300,140,518,21555.38462,2484.057971
Y,1340,46,0,1,V7B1E7,1,1,1257.678333,0,2091.675833,,0,,0,0,1.333333333,8.75,15.25,4.833333333,4,0,4,0,-2,D,450,200,1048,39731.11111,2690.476191
Y,1342,48,0,1,V3W0R4,1,0,115.5991667,0,908.1991667,,70006.79083,105346.905,0,0,3.583333333,0,0,2.416666667,0,0,5,0,0,A,1610,440,1611,21022.36025,1292.592593
Y,1349,45,0,1,V5G3B6,1,1,3146.238333,75547.29417,79300.02,,939.15,,0,0,1.083333333,10.66666667,11.5,6.75,0,0,4,0,0,C,770,350,1565,28345.45455,3008.928571
Y,1359,63,0,1,V2X9T8,1,1,257.1891667,0.9,696.8466667,,3048.44,79011.525,0,0,0.75,1.833333333,5.083333333,2.333333333,6.25,0,5,0,0,B,1410,,,35390.78014,2426.5625
Y,1364,49,0,1,V5L2M2,0,0,349.5566667,2.24,14073.74417,,0,,0,0,0,0,0,0,0,0,5,0,0,E,1080,400,1549,23753.7037,2751.020408
N,1372,49,0,1,V7A1N2,1,1,331.4158333,109.49,467.3491667,,12.59416667,95135.47,0,0,0.916666667,3.416666667,25.41666667,2.5,4.25,0,4.5,1,1,C,520,240,918,28930.76923,4339.285714
N,1377,39,1,0,V4K2V3,1,0,1676.390833,0.006666667,5324.015833,3333.67,1624.966667,151177.5875,0,0,6.25,2.916666667,15.5,6.416666667,3.666666667,0,6.8,-2,-7,D,660,270,1079,31293.93939,2985.714286
Y,1378,56,0,1,V6N2N4,1,0,11.2175,296.6858333,1499.295833,,0.231666667,,0,0,0.416666667,0,0,0,0,0,5,0,0,D,630,230,1513,48017.46032,7456.140351
Y,1379,52,1,0,V6N2N4,1,1,1603.013333,0,1659.445833,,5.000833333,,0,0,0.166666667,2.833333333,0.083333333,6.666666667,0,0,4,0,0,D,630,230,1513,48017.46032,7456.140351
Y,1400,39,0,1,V4C7E8,1,0,115.9483333,983.975,102256.5967,,0.4925,,0,0,0.333333333,0,0,0.083333333,0,0,5,0,0,E,670,300,1462,36995.52239,2824.242424
Y,1405,49,0,1,V5T2X5,1,0,0,308.935,4117.54,,7096.956667,,0,0,6.666666667,0,0,1.166666667,0,0,4.2,-1,-5,D,450,190,760,26208.88889,3990
Y,1409,46,0,1,V3B6K8,1,0,2327.015,0,2778.0325,,0,,0,0,2.5,0.416666667,0.833333333,12.5,0,0,4,0,0,D,850,370,1666,30660,2325.490196
Y,1423,26,0,1,V3M3H8,1,0,0,0,53.71833333,711.935,1480.206667,,0,0,0.75,6,0.916666667,0,0,0,4.6,-1,-1,D,830,310,1369,32132.53012,2865.789474
N,1438,64,0,1,V3V4J9,0,0,17.41666667,0.17,108.3066667,10876.78667,9750.506667,85887.10417,0,0,6.916666667,0,0,0.25,0,0,6,0,0,B,380,140,533,24336.84211,2287.5
N,1456,47,0,1,V5A3N8,1,1,8631.711667,0,9025.541667,,0,98007.52917,0,0,5.416666667,3.083333333,0.75,4.333333333,3.166666667,0,5,0,0,B,570,270,1573,31687.7193,5248.148148
Y,1479,32,1,0,V5X1T2,1,1,925.4766667,1.205,769.6975,,1965.113333,219931.5889,1,1,6,0.833333333,10.91666667,0.75,0,0,4.7,3,3,E,1300,140,518,21555.38462,2484.057971
Y,1480,29,0,1,,1,0,83.03916667,6400.651667,8544.9125,,890.275,,0,0,9.583333333,0.166666667,0.916666667,0.333333333,0,0,4,0,-2,D,,,,,
Y,1485,39,1,0,V4A4W2,1,1,5511.42,1.666666667,26374.18583,,45.16333333,,0,0,4.833333333,8.083333333,16.08333333,2.083333333,3.166666667,0,4.5,1,1,D,350,130,682,29371.42857,7876.086957
N,1510,32,1,0,V6L1S2,1,0,1313.309167,28.8,1421.046667,,1389.231667,,1,0,1.25,2.416666667,8.666666667,0.75,0,0,3.6,1,1,D,510,200,1041,32350.98039,6719.607843
Y,1516,43,0,1,V4N2B9,1,1,1615.4275,4986.860833,9204.878333,,55513.75083,229065.2317,0,0,0.5,5.333333333,4.583333333,6,1.75,0,5,0,0,A,1160,400,1647,29105.17241,2545.098039
Y,1518,53,0,1,V7T1G6,1,1,4067.739167,0.15,4207.309167,586.185,0,,0,0,0.833333333,1.166666667,14.91666667,6.916666667,5.333333333,0,4.4,-1,-1,D,400,,,51737.5,24148.27586
Y,1524,49,0,1,V3W5K1,0,1,3307.608333,0,59783.81417,,0.058333333,150203.9542,0,0,1.666666667,0,0,2,0,0,6,0,-1,B,810,290,987,28144.44444,1755.555556
N,1526,45,1,0,V7P2X3,1,0,988.5466667,707.46,1772.301667,,10596.77417,,0,0,5.416666667,2.666666667,27,8.833333333,7.333333333,0,4,0,2,C,530,250,1008,26994.33962,4800
N,1530,49,0,1,V4N2Z1,0,0,394.0891667,8.55,481.1941667,,23827.97583,,0,0,0.833333333,0,0,0,1.083333333,0,4,0,0,C,840,290,1324,26688.09524,2090.909091
Y,1531,43,1,0,V5V1W8,1,0,6157.185833,0,7377.235833,,994.7633333,63248.065,0,0,1.833333333,4.166666667,17.08333333,2.583333333,2.75,0,5.2,-1,-2,C,700,320,1493,32880,2709.090909
N,1533,68,0,1,V2X4T1,1,0,1208.753333,0.05,29335.15833,242.385,31.54833333,153347.1767,0,0,10.83333333,6.25,3.75,1.083333333,0,0,7.1,-1,-3,B,840,,,32866.66667,1458.62069
Y,1548,45,0,1,V3N1M8,1,0,134.0566667,551.22,984.0916667,,101253.365,86933.33417,0,0,3.416666667,1.25,10.08333333,19.16666667,1,0,5,0,0,A,840,,,27259.52381,2831.25
Y,1601,45,0,1,V6K1Z3,1,1,11179.79667,9312.738333,26503.7325,,0,27168.23417,0,0,0.583333333,5.916666667,1.083333333,3.333333333,3.083333333,0,6,0,0,C,660,300,1645,40333.33333,4476.31579
Y,1639,44,1,0,V5V2T8,1,0,5235.448333,1.711666667,14324.90083,,445.9483333,134194.1383,0,0,12.5,6.75,37.91666667,7.25,2.333333333,0,5.1,-1,-2,C,880,350,1340,25834.09091,2168.421053
Y,1654,39,0,1,V2X1A9,1,1,329.8716667,0,393.9616667,,782.1516667,,0,0,0,12.16666667,72.91666667,8.5,3.916666667,0,4,0,0,D,1410,,,35390.78014,2426.5625
Y,1659,68,0,1,V3X1V9,1,0,0,30.36,133.415,,67645.65083,63087.99167,0,0,3.5,0,0.666666667,0,0,0,4.6,-1,-2,C,850,340,1611,30642.35294,1879.411765
N,1696,46,1,0,V4C6P5,1,1,0,0,62.18,,6528.265833,,0,0,0.333333333,3.166666667,6.75,3.916666667,0,0,4,0,0,D,690,170,648,23611.5942,6033.333333
N,1697,61,1,0,V5B2T7,1,1,4686.465,12.24,5048.055,,0,182175.6217,0,0,1.166666667,2,3.666666667,1.916666667,9.75,0,5,0,1,A,640,280,1237,27843.75,3814.583333
Y,1710,49,1,0,V6R3C4,1,1,6104.988333,0,6287.81,,10584.9625,229624.5629,0,0,0.833333333,5.5,30.5,4.416666667,6.166666667,0.083333333,4.5,-1,-1,C,460,220,1361,45310.86957,5635.294118
N,1738,25,0,1,V5R5R6,1,1,531.3091667,1853.356667,6072.513333,,11454.075,,1,0,0.416666667,5.5,16.25,1.666666667,3.333333333,0,3.8,1,3,D,790,330,1212,24694.93671,1959.52381
Y,1746,54,0,1,V4P2S8,0,1,21814.13917,258.215,90064.49167,,0,68786.2525,0,0,7,0,0,3.583333333,0,0,5.9,-2,-5,C,4770,2340,14865,46565.82809,7386.827957
N,1790,40,0,1,,1,1,0.278333333,43.04333333,290.6541667,,7299.2425,238385.3392,0,0,1.5,1.333333333,23.66666667,3.416666667,0.833333333,0,5,0,1,B,,,,,
Y,1806,41,1,0,V1M2A2,1,0,3011.025,166.7458333,6554.604167,6439.19,386.3,134842.3625,0,0,0.916666667,0.083333333,12.58333333,0.25,7.666666667,0,6.2,-1,-4,B,13750,5740,27944,37751.63636,3879.678363
Y,1829,37,1,0,V3H3V7,1,1,265.8441667,14.31166667,376.7683333,3410.605833,588.6275,70307.99667,0,0,0.75,15.75,50.08333333,10.33333333,8.166666667,0,6,0,0,C,200,80,305,29880,2400
Y,1928,25,0,1,V3S0M9,1,0,12308.48909,603.0666667,11942.18833,,22779.73,172908.0413,1,1,3.666666667,1.25,5.25,3.5,0,0,3.9,2,5,D,570,220,934,33947.36842,2024
Y,1933,40,0,1,V3W7M5,1,1,781.14,370.15,8914.050833,,6458.301667,124702.3775,0,0,7.416666667,1.833333333,4.333333333,1.333333333,0,0,5.8,-1,2,C,710,200,537,23291.5493,966.6666667
Y,1969,54,1,0,V4A9E6,1,1,0,578.1366667,1705.154167,1929.770833,3630.1225,114607.1925,0,0,2,20.16666667,22,4.166666667,5.75,0,6.1,-1,-1,B,570,260,1799,43577.19298,6985.106383
Y,1985,60,0,1,V5G1E2,0,0,4803.558333,20.66,5344.063333,,0,274272.02,0,0,1,0,0,1,0,0,5,0,0,A,500,200,730,25030,2608
